functionName                          , elapsedTime             , numCalls  , percentage, avgTime
SolveCorrelations                     , 15357.315994332937      ,         75,      37.79, 204.7642132577725
__CalculateDoubleTimeCorrelations     , 14769.954092082015      ,         75,      36.34, 196.9327212277602
__ClassicallyDrivenSSHEquations       ,  8496.120783869148      , 1226331708,      20.91, 6.92807723101713e-06
__CalculateSingleTimeCorrelations     ,   581.2473266230227     ,         75,       1.43, 7.749964354973636
__SinusoidalDrivingTerm               ,   571.9852636108553     , 1226331933,       1.41, 4.6641961137845976e-07
CalculateCurrent                      ,   428.7903124138975     ,         75,       1.06, 5.717204165518633
__CalculateDoubleTimeCurrent          ,   382.2112403720821     ,         75,       0.94, 5.096149871627762
__CalculateConnectedCurrentCorrelator ,    45.656827330967644   ,         75,       0.11, 0.6087576977462352
__CalculateSingleTimeFourierSeries    ,     6.042785378900589   ,         75,       0.01, 0.08057047171867453
__CalculateCurrentHarmonics           ,     0.4852504150621826  ,         75,       0.0 , 0.006470005534162435
__CalculateCurrentFourier             ,     0.3080464559607208  ,         75,       0.0 , 0.004107286079476277
__CalculateCurrentExpectation         ,     0.10129507894453127 ,         75,       0.0 , 0.0013506010525937502
__CreateFourierMatrix                 ,     0.029795670008752495,         75,       0.0 , 0.0003972756001166999
__CalculateSteadyStateMask            ,     0.012750334994052537,        300,       0.0 , 4.250111664684179e-05
__CalculateDoubleTimeInitialConditions,     0.012408748007146642,         75,       0.0 , 0.00016544997342862188
__CalculateVzFourier                  ,     0.01229675101058092 ,         75,       0.0 , 0.00016395668014107894
__CalculateVpmFourier                 ,     0.007999625042430125,         75,       0.0 , 0.00010666166723240167
__CalculateDoubleTimeInhomogeousParts ,     0.00563770996814128 ,         75,       0.0 , 7.516946624188374e-05
